Year,Annual Rainfall,Crop,Area,crop_Production,Arrival,Quantities,MIN(Rs),MAX(Rs),disease(%)
2005,836,Arecanut,16197,19867,60,Quintal,3000,1100,80
2006,471,Arecanut,19044,107710,8699,Quintal,NA,19200,10
2007,681,Arecanut,19584,24022,6109,Quintal,2000,29000,88
2008,779,Arecanut,22058,124757,5206,Quintal,500,15000,33
2009,673,Arecanut,25045,141651,6911,Quintal,700,15000,30
2010,841,Arecanut,29014,259664,12792,Quintal,800,25000,5
2011,549,Arecanut,29807,217923,26687,Quintal,2400,18500,14
2012,473,Arecanut,30917,226039,15966,Quintal,400,18000,16
2013,584,Arecanut,29334,241183,19177,Quintal,5000,19500,8
2014,690,Arecanut,32775,314901,12617,Quintal,2400,76000,2
2015,515,Arecanut,,,15351,Quintal,17100,44500,
2016,511,Arecanut,,,21948,Quintal,2200,29500,
